Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Search Depth
divorce,"1,129",1.22,4.69%,16.61%,00:05:40,4.98
csa,"1,125",1.24,7.11%,13.80%,00:03:53,4.26
e111,"1,120",1.18,74.29%,15.38%,00:01:18,0.54
address,"1,096",1.11,19.16%,35.96%,00:01:49,1.70
google,"1,096",1.60,47.72%,17.96%,00:02:50,0.95
green book,"1,094",1.24,13.80%,30.01%,00:02:20,1.87
theory,"1,091",1.22,2.57%,7.67%,00:02:53,2.10
social fund,"1,087",1.33,11.04%,20.07%,00:04:03,4.53
egypt,"1,075",1.21,4.84%,29.32%,00:02:44,2.59
benefits,"1,062",1.17,10.83%,36.96%,00:04:48,3.58
lost passport,"1,057",1.26,4.35%,12.95%,00:03:30,4.14
gateway,"1,055",1.17,5.59%,19.45%,00:04:09,3.01
cpc,"1,045",1.36,5.45%,15.76%,00:04:14,3.47
road tax,"1,009",1.14,7.04%,15.58%,00:02:48,2.01
pension forecast,"1,006",1.34,2.98%,11.36%,00:04:36,5.01
holiday entitlement,999,1.16,2.10%,17.43%,00:04:55,6.42
paternity leave,993,1.31,3.83%,20.97%,00:05:03,5.02
bus pass,991,1.21,7.37%,13.37%,00:03:32,5.45
self employed,967,1.28,12.20%,26.38%,00:04:32,3.89
Turkey,964,1.16,7.68%,19.35%,00:02:20,2.40
passport renewal,955,1.17,3.56%,19.32%,00:04:29,4.21
Contact,941,1.10,21.04%,26.08%,00:02:44,1.51
visas,932,1.21,14.59%,31.74%,00:02:08,1.93
phone number,930,1.21,21.08%,27.78%,00:02:20,2.12
health,926,1.24,20.09%,36.59%,00:02:17,2.11
V62,894,1.17,5.26%,16.54%,00:02:19,1.70
v317,879,1.16,1.14%,11.34%,00:02:19,2.04
child tax credit,874,1.17,2.86%,24.56%,00:04:17,4.29
jobmatch,873,1.11,1.95%,4.63%,00:02:16,1.49
spain,861,1.18,6.16%,36.75%,00:03:02,3.20
smp,860,1.24,4.42%,22.67%,00:05:03,6.28
v5c,850,1.31,9.18%,16.68%,00:03:08,2.47
v14,848,1.11,1.18%,6.16%,00:01:32,2.04
budgeting loans,847,1.20,2.83%,18.54%,00:03:34,4.70
careers,846,1.13,35.11%,18.79%,00:01:39,1.74
apprenticeships,842,1.19,4.87%,11.35%,00:02:36,2.81
v10,825,1.19,5.21%,23.65%,00:02:24,1.80
incapacity benefit,824,1.33,6.07%,26.50%,00:05:09,4.53
crisis loans,811,1.31,8.51%,16.90%,00:03:55,4.08
SORN,811,1.07,1.85%,6.46%,00:03:01,1.93
DBS,809,1.26,7.54%,18.14%,00:04:57,4.02
Sorn,801,1.05,2.00%,5.09%,00:02:37,1.75
job centre,782,1.16,21.48%,22.44%,00:02:21,1.75
Theory test,782,1.14,7.42%,6.07%,00:02:15,1.83
job vacancies,762,1.22,18.90%,14.21%,00:01:42,1.64
childcare,752,1.26,14.63%,20.11%,00:03:16,3.06
employment and support allowance,746,1.18,3.49%,22.35%,00:05:08,4.69
holiday pay,743,1.20,3.10%,18.14%,00:05:11,6.50
travel,743,1.22,9.02%,37.64%,00:02:34,3.37
widows pension,740,1.42,16.89%,20.76%,00:04:51,5.24
dsa,737,1.21,4.75%,30.83%,00:04:02,2.60
paternity,732,1.36,3.83%,19.56%,00:04:32,5.65
gl24,722,1.18,2.35%,9.48%,00:03:01,2.87
legalisation,718,1.40,4.46%,13.35%,00:06:37,5.41
defra,704,1.21,8.95%,33.92%,00:03:34,3.47
pension credits,698,1.31,4.58%,16.17%,00:05:54,4.37
export control,694,1.30,34.73%,17.22%,00:03:49,2.19
government gateway,693,1.21,7.50%,20.60%,00:05:06,3.01
thailand,693,1.20,3.90%,31.72%,00:03:48,3.69
application form,691,1.22,7.38%,50.18%,00:02:26,2.33
apostille,688,1.35,13.66%,25.40%,00:05:11,4.17
v5,687,1.25,9.46%,25.99%,00:02:26,2.17
Income support,683,1.17,5.12%,18.70%,00:04:38,4.72
statutory sick pay,683,1.20,3.81%,23.57%,00:04:43,4.39
Passport,680,1.12,6.32%,16.38%,00:03:52,3.46
disability living allowance,679,1.28,4.86%,24.66%,00:05:17,5.58
bank holidays,675,1.20,4.15%,10.48%,00:02:17,2.77
practical test,674,1.28,3.71%,14.07%,00:03:39,3.30
tunisia,673,1.24,5.05%,29.07%,00:02:53,3.12
employment support allowance,671,1.24,3.58%,19.88%,00:04:52,4.64
travel advice,669,1.25,5.98%,40.36%,00:03:40,3.88
E111,668,1.18,76.20%,16.26%,00:01:13,0.52
india,668,1.19,5.84%,32.91%,00:02:53,3.16
power of attorney,655,1.21,8.70%,13.62%,00:05:56,4.83
sign in,650,1.07,17.38%,21.20%,00:02:26,2.52
benefits adviser,646,1.30,1.55%,16.84%,00:09:23,2.80
provisional,644,1.21,7.61%,15.88%,00:04:42,2.55
flexible working,641,1.19,4.06%,15.07%,00:04:39,4.29
contact dvla,639,1.14,2.82%,16.30%,00:03:26,2.47
european health insurance card,639,1.24,60.72%,14.65%,00:01:42,0.83
JSA,639,1.14,3.29%,19.45%,00:04:17,3.79
probate,636,1.16,5.97%,19.05%,00:05:04,4.85
DLA,632,1.26,3.64%,28.59%,00:04:09,4.59
holiday,629,1.15,6.84%,26.34%,00:03:59,5.19
JOBS,629,1.13,11.29%,9.99%,00:01:39,1.65
PIP,626,1.18,3.51%,17.93%,00:04:42,5.18
register,623,1.15,12.20%,41.54%,00:03:02,2.43
cleaner,618,1.50,16.83%,10.68%,00:02:33,2.08
state pension statement,616,1.16,1.79%,6.56%,00:03:30,3.67
mental health,615,1.81,17.56%,21.38%,00:04:15,2.99
dwp,612,1.16,10.62%,36.52%,00:03:30,3.50
fees,612,1.14,6.05%,37.88%,00:02:20,2.08
birth certificate,610,1.36,8.36%,20.00%,00:04:13,3.11
GL24,608,1.18,2.30%,8.79%,00:02:35,2.78
student loan,605,1.25,5.79%,10.83%,00:04:15,3.95
hmrc,604,1.17,21.03%,26.55%,00:03:01,2.37
contact numbers,601,1.16,17.80%,28.78%,00:02:38,1.89
holidays,597,1.22,7.37%,24.45%,00:03:45,5.03
parental leave,597,1.19,3.02%,36.72%,00:05:29,4.58
d1,596,1.19,8.89%,28.29%,00:02:17,2.14
retail,594,1.28,16.16%,18.35%,00:02:21,2.38
sanctions,589,1.21,13.92%,37.32%,00:03:06,2.82
complaints,586,1.22,12.80%,39.25%,00:02:25,1.75
alcohol,583,1.41,15.09%,25.15%,00:05:23,4.29
passport application,580,1.22,5.86%,19.89%,00:04:58,4.51
self employment,578,1.34,13.49%,20.70%,00:05:01,4.04
advertise job,570,1.16,1.58%,5.14%,00:02:36,1.72
immigration,569,1.32,9.67%,23.73%,00:03:43,3.46
syria,565,1.28,7.08%,40.30%,00:03:04,2.88
benefit cap,560,1.32,3.75%,14.46%,00:05:01,2.95
legal aid,559,1.25,6.26%,13.02%,00:03:33,3.51
greece,557,1.20,5.03%,37.11%,00:02:23,3.13
education,556,1.31,13.13%,31.92%,00:03:47,3.48
adoption,555,1.35,14.41%,22.83%,00:03:44,3.67
death,546,1.29,9.16%,27.76%,00:03:52,4.73
Visa,544,1.18,17.83%,31.41%,00:02:00,1.70
department of health,541,1.20,11.09%,39.88%,00:03:38,3.95
immunisation,541,1.40,9.98%,24.34%,00:04:30,3.91
v890,541,1.42,7.21%,18.15%,00:02:54,2.05
state pension forecast,539,1.39,2.78%,7.63%,00:03:58,4.38
Maternity,535,1.34,7.48%,13.97%,00:05:38,5.87
p46,535,1.24,11.21%,24.13%,00:01:46,2.58
tupe,535,1.32,8.04%,8.38%,00:04:15,3.96
kenya,534,1.18,5.81%,34.87%,00:02:40,2.85
mexico,534,1.16,4.12%,33.28%,00:03:39,3.93
calculator,533,1.14,7.88%,27.56%,00:04:07,3.59
bedroom tax,531,1.36,20.72%,23.68%,00:02:43,2.73
tax credit,530,1.25,4.72%,15.91%,00:03:35,3.59
maternity grant,528,1.21,3.22%,17.63%,00:04:23,5.14
fraud,527,1.29,12.14%,15.93%,00:02:41,2.06
loan,526,1.35,9.89%,18.71%,00:04:26,5.15
new claim,524,1.18,11.07%,30.10%,00:02:56,2.77
driving,523,1.19,12.81%,34.99%,00:02:46,2.37
state pension age,522,1.24,5.75%,11.75%,00:03:43,5.83
rotavirus,518,1.55,4.05%,11.49%,00:04:28,3.75
vat,516,1.20,8.33%,22.13%,00:02:54,3.17
student,511,1.26,7.05%,22.05%,00:04:28,3.77
france,509,1.18,5.30%,45.09%,00:02:36,3.25
morocco,508,1.21,3.94%,33.71%,00:02:43,3.63
health and safety,507,1.33,12.62%,35.50%,00:02:42,2.05
log book,507,1.27,6.51%,20.19%,00:02:19,2.19
p60,507,1.25,11.44%,28.55%,00:02:35,3.39
child tax credits,505,1.13,2.18%,22.90%,00:03:38,4.17
istanbul,500,1.26,9.00%,11.15%,00:02:22,2.66
national minimum wage,500,1.30,4.40%,13.36%,00:02:42,3.42
child maintenance,497,1.34,7.65%,11.90%,00:05:18,5.55
book driving test,496,1.16,4.23%,11.79%,00:03:13,2.09
student loans,496,1.24,6.05%,10.21%,00:03:57,4.36
jobcentre,494,1.13,13.56%,24.82%,00:02:21,1.79
book theory test,491,1.21,4.07%,7.76%,00:03:22,2.05
lost driving licence,491,1.12,2.24%,9.62%,00:05:03,2.44
disability,489,1.29,12.27%,35.18%,00:04:29,4.17
marriage,489,1.35,8.59%,28.10%,00:04:35,3.99
telephone number,489,1.15,18.00%,35.18%,00:02:16,2.01
vietnam,486,1.19,2.26%,39.48%,00:03:13,3.55
driving license,481,1.15,8.11%,18.74%,00:04:05,2.81
business link,479,1.23,12.94%,21.47%,00:03:26,3.75
carers,479,1.34,8.77%,20.25%,00:04:43,4.37
pension age,479,1.19,2.51%,13.71%,00:04:16,6.93
D1,478,1.23,13.39%,26.24%,00:03:02,2.38
nhs,478,1.27,25.31%,30.58%,00:02:30,1.89
CRB,474,1.29,10.13%,19.48%,00:03:51,3.42
advertising a job,473,1.12,2.11%,6.24%,00:02:32,1.80
fco,472,1.24,10.17%,27.30%,00:04:38,4.08
home office,472,1.17,9.75%,31.95%,00:03:59,3.92
statutory maternity pay,472,1.37,4.03%,19.63%,00:05:20,6.08
right to buy,471,1.32,4.88%,13.02%,00:04:50,3.93
pension statement,468,1.18,2.35%,8.91%,00:04:13,4.88
community care grant,467,1.32,10.06%,18.34%,00:03:34,4.10
dbs continuation sheet,467,1.19,5.78%,16.01%,00:01:38,1.92
locate,466,1.18,21.03%,34.24%,00:03:01,3.36
second passport,466,1.21,16.31%,25.22%,00:03:59,3.52
practical driving test,462,1.18,1.08%,10.62%,00:03:13,2.52
employment,460,1.22,15.65%,35.41%,00:02:42,2.85
Job search,458,1.06,12.23%,5.99%,00:01:01,1.16
universal,458,1.18,1.31%,7.02%,00:03:41,1.85
passport application form,456,1.25,9.21%,16.78%,00:04:08,4.69
china,448,1.21,5.80%,35.66%,00:03:28,3.16
contacts,448,1.24,14.73%,27.26%,00:02:41,2.32
diabetes,448,1.44,12.50%,21.46%,00:03:44,3.01
hardship,447,1.45,16.11%,27.85%,00:02:20,2.81
housing,447,1.22,10.74%,30.88%,00:03:24,3.40
email,443,1.15,19.64%,29.80%,00:02:31,2.39
data protection,441,1.31,11.34%,33.62%,00:03:42,2.66
vehicle enquiry,440,1.21,4.09%,7.16%,00:01:43,1.84
epc,439,1.31,9.34%,15.36%,00:02:27,2.59
smoking,437,1.49,12.36%,25.42%,00:03:33,2.27
help to buy,435,1.20,9.89%,15.38%,00:02:59,3.24
cyprus,433,1.17,7.39%,32.74%,00:02:23,3.16
journey planner,432,1.54,11.81%,10.04%,00:05:03,1.88
Pensions,431,1.16,8.82%,15.86%,00:04:11,4.91
contact details,430,1.16,19.30%,32.46%,00:02:35,2.00
training,430,1.23,18.37%,36.35%,00:03:12,2.29
Change of address,429,1.18,9.79%,21.46%,00:03:57,2.11
iran,429,1.24,6.76%,40.19%,00:02:52,2.85
Disabled People,428,1.11,85.51%,0.42%,00:01:07,0.87
procurement,427,1.42,10.54%,21.42%,00:03:59,3.03
israel,423,1.29,4.73%,36.75%,00:03:06,3.48
access to work,422,1.25,7.11%,17.80%,00:03:41,3.93
job centre plus,422,1.21,13.51%,22.27%,00:02:31,2.14
retirement age,422,1.18,5.92%,21.57%,00:04:02,6.85
planning,421,1.25,8.55%,30.99%,00:02:41,3.37
provisional licence,421,1.22,6.65%,24.41%,00:04:56,2.94
taxdisc,419,1.12,3.34%,9.57%,00:04:06,2.11
vosa,419,1.24,7.88%,22.01%,00:03:48,2.85
self assessment,418,1.12,2.87%,14.96%,00:02:20,2.51
24,415,1.19,3.37%,5.88%,00:03:59,3.59
highway code,413,1.43,7.75%,17.57%,00:06:23,7.54
pregnancy,412,1.31,15.78%,26.99%,00:03:33,4.16
jury service,409,1.33,9.05%,10.46%,00:03:40,4.86
child passport,408,1.22,4.17%,23.39%,00:04:24,4.20
Driving test,407,1.14,4.67%,11.90%,00:02:39,2.15
bereavement,406,1.29,10.84%,31.30%,00:04:00,4.63
passport fee,406,1.14,1.48%,10.85%,00:02:11,2.18
south africa,406,1.14,4.43%,39.83%,00:02:40,2.84
clinical governance,405,1.90,15.31%,11.54%,00:02:49,2.80
V317,405,1.12,1.73%,9.23%,00:02:15,2.04
redundancy calculator,403,1.17,2.98%,7.20%,00:04:50,9.04
appeals,402,1.19,6.22%,31.73%,00:03:25,3.26
funding,402,1.45,15.17%,26.80%,00:04:17,3.91
ls01,402,1.21,4.23%,23.51%,00:02:44,3.71
business plan,397,1.39,12.59%,20.00%,00:03:21,3.40
driving theory test,397,1.21,5.79%,9.34%,00:03:28,2.43
find a job,397,1.10,8.56%,8.49%,00:01:16,1.31
winter fuel allowance,397,1.32,3.78%,19.77%,00:04:27,5.28
benefit calculator,396,1.19,9.60%,13.19%,00:05:27,3.03
income tax,394,1.16,7.11%,31.88%,00:03:37,4.29
brazil,393,1.14,5.34%,31.70%,00:03:00,3.49
Contact number,392,1.07,27.04%,22.57%,00:01:58,1.43
phone numbers,390,1.20,18.72%,32.55%,00:02:29,2.04
tracking,390,1.17,7.69%,27.03%,00:01:29,1.91
obesity,389,1.66,12.60%,18.91%,00:05:03,2.86
job match,388,1.12,2.06%,5.08%,00:02:09,1.53
pakistan,388,1.22,5.67%,36.42%,00:02:27,2.85
malaysia,387,1.19,3.88%,34.78%,00:02:25,2.85
crb check,386,1.28,11.66%,17.00%,00:03:02,2.86
DVLA,386,1.25,9.33%,17.26%,00:03:49,3.16
vacancy,386,1.31,16.58%,24.46%,00:02:49,2.60
update service,385,1.54,9.09%,17.60%,00:04:44,2.94
V5C,384,1.35,13.02%,14.07%,00:03:00,2.36
immunisations,383,1.36,8.88%,27.01%,00:03:41,3.86
jobcentre plus,382,1.24,9.16%,21.56%,00:03:28,2.87
hotmail,381,1.69,38.58%,14.02%,00:05:07,1.25
speed limits,381,1.28,6.82%,20.70%,00:02:44,2.56
usa,381,1.18,4.72%,36.67%,00:02:59,3.19
paternity pay,380,1.18,4.21%,18.08%,00:03:48,4.68
continuation sheets,379,1.13,1.06%,16.39%,00:01:31,1.52
insurance,378,1.19,16.67%,34.15%,00:02:25,2.39
vic,378,1.29,2.91%,6.37%,00:04:14,3.68
grant,375,1.35,12.80%,31.09%,00:04:17,4.65
benefits calculator,374,1.17,8.56%,11.47%,00:05:46,3.07
european health card,374,1.18,62.30%,20.91%,00:01:15,0.66
iraq,374,1.21,4.28%,44.37%,00:01:41,2.44
permitted work,374,1.59,13.37%,23.03%,00:04:52,3.91
retirement,374,1.33,9.36%,17.34%,00:04:12,5.75
Passport fees,373,1.11,5.09%,11.35%,00:01:31,1.74
signing off,373,1.12,19.57%,45.32%,00:01:55,2.09
work experience,373,1.27,19.30%,22.46%,00:02:48,2.29
benefits advisor,371,1.18,3.23%,12.36%,00:05:46,2.48
security,371,1.32,16.98%,18.65%,00:02:52,2.11
renew passport,370,1.19,3.51%,22.00%,00:05:10,4.50
winter fuel payment,370,1.26,2.70%,29.61%,00:03:57,4.04
work programme,370,1.65,15.68%,16.23%,00:04:42,3.39
name change,368,1.34,8.42%,19.64%,00:03:16,3.28
Redundancy,368,1.26,6.52%,15.91%,00:05:25,5.54
tax refund,367,1.17,7.63%,26.91%,00:03:01,3.06
lebanon,365,1.24,3.29%,32.38%,00:03:18,2.70
MOT,363,1.23,6.34%,12.56%,00:02:25,2.07
budget loan,362,1.12,3.59%,13.79%,00:03:36,4.61
directgov,361,1.27,27.42%,24.89%,00:02:43,2.61
mmr,361,1.48,11.08%,18.76%,00:03:12,3.26
pension calculator,359,1.22,4.46%,19.86%,00:03:56,5.76
universal job search,358,1.17,3.07%,4.77%,00:02:15,1.46
driver cpc,357,1.36,7.28%,12.19%,00:04:21,3.10
Pension,357,1.16,8.96%,18.60%,00:04:11,4.54
singapore,357,1.12,3.92%,29.57%,00:02:21,3.12
renew child passport,356,1.13,4.78%,23.51%,00:03:25,3.95
V14,356,1.15,1.12%,7.32%,00:02:21,2.33
consent,355,1.30,17.18%,50.43%,00:01:31,1.11
citizenship,353,1.36,9.07%,22.76%,00:04:35,3.62
police,351,1.34,24.79%,33.05%,00:03:15,2.67
scholarship,351,1.29,29.63%,12.80%,00:02:38,2.05
housing benefits,350,1.20,3.43%,15.48%,00:05:38,5.06
www.gov.uk/jobsearch,350,1.34,6.00%,7.69%,00:05:36,1.91
apprenticeship,347,1.23,8.36%,12.44%,00:02:43,3.03
Student finance,347,1.10,5.76%,7.11%,00:03:04,2.96
tax return,347,1.18,4.32%,18.09%,00:02:28,2.51
cbt,346,1.30,3.47%,12.92%,00:04:29,6.04
francis report,346,1.57,28.90%,14.52%,00:02:41,1.98
savings,346,1.29,13.87%,38.62%,00:03:48,3.35
warehouse,345,1.28,19.13%,10.68%,00:03:04,1.51
parking,344,1.17,13.37%,35.73%,00:02:40,3.47
somalia,344,1.23,8.43%,37.44%,00:02:36,2.72
State pension,344,1.10,3.20%,14.78%,00:03:53,4.41
v11,344,1.13,9.01%,26.03%,00:02:26,1.82
cambodia,343,1.24,3.21%,44.73%,00:03:24,3.56
croatia,342,1.19,9.65%,31.03%,00:02:53,3.45
honours,342,1.21,3.80%,9.44%,00:03:19,3.31
universal jobsearch,341,1.14,0.29%,5.67%,00:02:56,1.81
winter fuel,341,1.26,2.05%,21.58%,00:03:29,4.67
lost licence,340,1.22,1.47%,9.90%,00:05:44,2.70
g8,339,1.29,8.55%,17.89%,00:06:29,4.60
pets,338,1.20,4.14%,19.95%,00:05:44,4.30
faq,337,1.23,16.02%,45.52%,00:02:05,2.19
recruitment,337,1.20,12.46%,29.56%,00:02:28,2.86
jordan,336,1.17,5.36%,38.78%,00:02:13,2.61
V10,336,1.20,4.76%,21.14%,00:02:23,1.93
Egypt,335,1.10,7.46%,28.38%,00:02:20,2.44
italy,334,1.19,5.09%,41.96%,00:02:29,3.34
national insurance contributions,334,1.28,4.19%,21.21%,00:04:34,4.50
sure start maternity grant,334,1.23,4.19%,19.22%,00:03:57,4.72
sickness,332,1.30,8.73%,22.79%,00:04:02,4.19
benefit fraud,330,1.20,4.55%,9.87%,00:02:21,2.01
LS01,330,1.20,5.15%,27.09%,00:02:23,3.62
breaks,327,1.19,4.59%,16.24%,00:03:23,4.13
Job,327,1.11,16.51%,13.81%,00:01:16,1.37
nigeria,327,1.28,4.28%,32.61%,00:03:27,3.55
vehicle check,327,1.28,4.89%,10.50%,00:02:20,2.41
career,326,1.12,30.37%,21.64%,00:01:47,1.79
change of name,326,1.35,6.44%,19.36%,00:03:23,2.87
courses,326,1.28,20.25%,31.58%,00:03:26,2.53
p45,326,1.22,9.51%,24.94%,00:02:43,2.69
child support,324,1.27,5.56%,10.92%,00:04:04,5.12
countersignatory,324,1.28,2.16%,10.39%,00:03:01,2.02
publications,323,1.20,6.81%,38.14%,00:03:32,4.34
bank holiday,322,1.16,6.21%,16.35%,00:01:41,2.52
ehic card,321,1.19,62.62%,16.45%,00:01:23,0.58
pff2,320,1.16,5.00%,9.95%,00:03:32,4.26
russia,318,1.18,3.14%,42.93%,00:03:10,3.58
Pension credit,317,1.21,8.52%,12.24%,00:04:11,3.53
court of protection,316,1.28,3.48%,12.66%,00:03:16,3.10
eco,316,1.37,11.39%,16.44%,00:03:44,2.91
financial sanctions,315,1.28,13.65%,32.26%,00:04:08,3.23
working hours,315,1.23,5.71%,44.19%,00:04:07,3.59
atas,314,1.25,7.01%,6.65%,00:05:28,3.64
hazard perception,314,1.33,16.24%,19.33%,00:02:05,2.08
new enterprise allowance,314,1.39,8.92%,14.91%,00:04:15,3.57
australia,312,1.17,4.17%,35.52%,00:03:26,3.48
internship,312,1.27,18.91%,14.39%,00:03:16,2.70
advertise,311,1.14,4.18%,5.63%,00:02:13,1.58
appeal,310,1.19,8.71%,33.24%,00:03:26,2.90
change of circumstances,310,1.23,15.48%,37.11%,00:02:57,2.48
esa50,309,1.35,8.41%,31.89%,00:03:15,3.67
Maternity allowance,309,1.17,4.21%,9.92%,00:05:07,5.26
sickness benefit,309,1.30,7.77%,25.44%,00:04:52,5.31
dubai,308,1.20,6.49%,29.38%,00:03:00,3.41
building regulations,306,1.32,22.22%,27.48%,00:02:09,2.09
wga,306,1.32,10.13%,14.36%,00:02:47,2.31
food,305,1.40,11.80%,31.07%,00:04:15,4.76
statistics,305,1.31,13.11%,32.58%,00:03:31,4.16
employment law,304,1.33,13.82%,32.67%,00:04:13,2.97
news,304,1.27,14.14%,20.78%,00:03:48,3.59
Ehic,302,1.15,61.26%,14.45%,00:01:12,0.65
Rapid reclaim,302,1.29,5.63%,12.56%,00:04:22,4.19
cuba,301,1.21,6.98%,26.72%,00:03:28,3.77
SSP,301,1.16,2.66%,19.48%,00:03:33,4.61
decc,299,1.21,6.35%,30.30%,00:04:15,4.36
legislation,299,1.19,22.74%,52.68%,00:01:55,1.28
passport form,299,1.21,7.69%,20.39%,00:03:40,4.41
Attendance allowance,298,1.15,5.37%,18.66%,00:04:46,4.87
birth to five,298,1.32,29.53%,25.51%,00:02:05,2.13
d4,297,1.52,6.40%,20.13%,00:03:15,2.71
tanzania,297,1.20,6.40%,35.96%,00:03:00,3.08
c1,295,1.22,6.10%,41.78%,00:03:42,3.91
SMP,295,1.21,4.07%,21.29%,00:04:23,5.69
peru,294,1.19,3.40%,39.32%,00:02:48,3.39
